"dataset_name","id","author_id","conversation_id","text","source","retweet_count","reply_count","like_count","quote_count","in_reply_to_user_id"
"account - Alex__Lachance","1030672160828928002","2258234934","1030672160828928002","RT @elonmusk: Great meeting you! https://t.co/Z16NK3GuXp","Twitter Web Client","4786","0","0","0",""
"account - Alex__Lachance","1021407230732775430","2258234934","1021234525626609666","@PokeLitesX @Mr_Froustache @realDonaldTrump That’s true, he forgot Russia.","Twitter for iPhone","0","0","0","0","760310138729299968"
"account - Alex__Lachance","1016091854977290247","2258234934","1016091854977290247","RT @elonmusk: https://t.co/D1umiFDr1t","Twitter Web Client","45885","0","0","0",""
"account - Alex__Lachance","1013286248730021888","2258234934","1013286248730021888","RT @Maisie_Williams: With Game of Thrones coming to an end I find myself looking to the future and honestly I just can’t wait to grow up an…","Twitter Web Client","6122","0","0","0",""
"account - Alex__Lachance","973784618313928705","2258234934","973784618313928705","RT @IIJERiiCHOII: Out of all the people on this planet, nature really had to take Stephen Hawking? ALS sucks, consider making a donation in…","Twitter for iPhone","133","0","0","0",""
"account - Alex__Lachance","961007386659053568","2258234934","961007386659053568","RT @OMGitsfirefoxx: is this part of ur suicide awareness campaign? https://t.co/EdpTUW52fi","Twitter Web Client","2162","0","0","0",""
"account - Alex__Lachance","951627704918458369","2258234934","951627704918458369","I've entered the @ASUS_ROG giveaway to win an ASUS Cerberus GTX 1070 Ti graphics card, thanks to @JackFrags https://t.co/baIeW0iYgf","Gleam Competition App","0","0","0","0",""
"account - Alex__Lachance","930977464121221120","2258234934","930977464121221120","RT @jackfrags: RETWEET for a chance to win an @ASUS_ROG Assassin’s Creed Origins Edition ROG Strix GTX 1080 Ti graphics card! Only 500 of t…","Twitter Web Client","20913","0","0","0",""
"account - Alex__Lachance","919641626397564928","2258234934","919641626397564928","RT @jackfrags: Incredible Scenes in PUBG! Retweet this tweet for a chance to win an Nvidia GTX 1070 Graphics card https://t.co/XiK1Eqs4m2 @…","Twitter Web Client","13175","0","0","0",""
"account - Alex__Lachance","897563455737053184","2258234934","897561116670386177","@MasterOfShears @CNN @VanJones68 That's because other countries don't need to. Trump has had 6 months of chances.","Twitter Web Client","1","3","34","0","751586838498902016"
"account - Alex__Lachance","881605175835799554","2258234934","881605175835799554","RT @jackfrags: https://t.co/riyd8HVPWT #GTXBattlegrounds Live now! Global Giveaway, Retweet this tweet for a chance to win 1 of 2 GTX 1070'…","Twitter Web Client","9817","0","0","0",""
"account - Alex__Lachance","875087363608899584","2258234934","875029685343858688","@XboxSupport Thanks a lot!","Twitter for iPhone","0","1","0","0","59804598"
"account - Alex__Lachance","875029685343858688","2258234934","875029685343858688","@XboxSupport Why the the Rare Replay collection download without me buying it or  requesting the download?","Twitter Web Client","0","2","0","0","59804598"
"account - Alex__Lachance","867419418355281920","2258234934","867419418355281920","@Cosmopolitan cmon https://t.co/x8nCzov5I3","Twitter for iPhone","0","0","0","0","23482952"
"account - Alex__Lachance","849405190725922817","2258234934","849405190725922817","@bawiedrich did I do anything wrong? I just want to know for the next time. Also I usually speak french so don't judge my english xD https://t.co/mNOSzMOvTI","Twitter Web Client","0","0","0","0","467170949"
"account - Alex__Lachance","843313066934714368","2258234934","843313066934714368","Join the @uncaseddotnet giveaway for a chance to win a Dragon Lore! https://t.co/Xv2ESRP4Ku","Twitter Web Client","8","0","1","0",""
"account - Alex__Lachance","839463528436228096","2258234934","839463528436228096","I vote team @ORIGINPC for #RigChallengeSweepstakes. https://t.co/HzhLwL1HtF","Twitter Web Client","0","0","0","1",""
"account - Alex__Lachance","837005215882756100","2258234934","837005215882756100","Watch #IEM Katowice for awesome #CSGO esports &amp; win awesome prizes! https://t.co/hhVZ1wlKq3","Twitter Web Client","3","0","0","0",""
"account - Alex__Lachance","836684249495400448","2258234934","836678146380320768","@B_Slavko @RazerSupport Thank you!","Twitter Web Client","0","0","0","0","705513171671511045"
"account - Alex__Lachance","836682410863505413","2258234934","836678146380320768","@RazerSupport Not buying razer again.","Twitter Web Client","0","0","6","0","2550527917"
"account - Alex__Lachance","836635435401105408","2258234934","836635435401105408","@RazerSupport Are your servers having trouble right now cause I cant login in Synapse. Error 3803","Twitter for iPhone","0","0","0","0","2550527917"
"account - Alex__Lachance","828430680463929349","2258234934","828430680463929349","RT @randomfrankp: Let's compare the Razer Blackwidow Chroma V2 vs the Corsair Gaming K95 Platinum RGB Keyboard in this review! https://t.co…","Twitter Web Client","4281","0","0","0",""
"account - Alex__Lachance","825822245570355201","2258234934","825822245570355201","RT @Twitter: Twitter is built by immigrants of all religions. We stand for and with them, always.","Twitter Web Client","274281","0","0","0",""
"account - Alex__Lachance","825410741486358535","2258234934","824853953623908354","@bawiedrich https://t.co/FGySCEJ6Si","Twitter Web Client","0","0","0","0","467170949"
